order_id,customer_id,order_status,order_purchase_timestamp,order_delivered_customer_date
68b05626c62e496d93759dc7f0a29a4c,327fa9a402844568a6f1907c9fb0cd9e,delivered,2025-06-17 09:22:00,2025-06-20 09:22:00
11405c32e94a46569bedd2398b76ea61,56b84bf2b8c74198a711c699d87ce0a7,delivered,2025-09-19 19:58:00,2025-09-27 19:58:00
8eceec6876664a7ea33d2c84da1d26d1,0f08abe901f8464d863569f8f32d434b,delivered,2025-10-21 20:44:00,2025-10-27 20:44:00
3b7e4863bf1745589c803baa057e9991,4e54089774ae47deb2a75eaa9a388661,delivered,2025-02-26 09:49:00,2025-03-07 09:49:00
303843ba41e64cb88a2403bf5179642c,39eb97876e34447f90d1c5567a5f8707,delivered,2025-10-26 07:15:00,2025-11-03 07:15:00
33554335012247ccaf36f116b0683378,380e081b9df14e4bbdf684289f4d7b95,processing,2025-09-14 21:15:00,
d466e9e91d6e4892bca4e30d76808ad7,59ab5ee42d234095b47465365861a051,delivered,2025-06-26 06:48:00,2025-06-29 06:48:00
4ef6d97dcf5c4358a076f66cbd7d7516,bee8e992bc65491fb93db26185af9ab9,delivered,2025-10-22 19:32:00,2025-10-28 19:32:00
8f0cea5cebe74b2289e5c3a2b6e87ea3,c7c9cb062eb74acebc8d77dd5f76195e,shipped,2025-05-18 13:44:00,
14d28c55cf6d4be5b744c8c80c0fb7bc,19b8ee83d426438cb1163d813efdb742,canceled,2025-12-17 20:34:00,
ab46f46f6c8342cbaa10b662d555c3a3,4a78ac8cf62141d9b2beed7afad76656,delivered,2025-09-09 08:21:00,2025-09-15 08:21:00
c9130f83f22d444cb13dc9f7eab8a4cb,cd4f42fa37ac4724948ea6e85e3fe666,approved,2025-10-18 16:43:00,
4004fe96eaab4c26b1977b0a4fb1633b,8c44400a44c94defbca76dd9f2e14e34,approved,2025-11-01 16:51:00,
352a63fa3adb4496af5c1eb2961738bd,03055c255fa04144811b6648da0b045c,delivered,2025-10-25 15:28:00,2025-11-06 15:28:00
537294efc9b14fa780e1d076dbd97a9d,dde0336249344bc69f6b29aadf374ad9,delivered,2025-01-23 20:05:00,2025-02-03 20:05:00
d6ee9ae88ecb4f5688cbb2cb36d9fde1,fc25680b74aa4f45862f5ac8ee2531f9,shipped,2025-12-27 07:14:00,
f6a854c02e9e4f9f8bbc256153c69c72,6685a1d0116e4eaebe2b29a3a0a481ff,delivered,2025-07-25 13:57:00,2025-08-01 13:57:00
57801004d0c04fba92bb74de04862a7d,eb0dcdf126b941e39fdb2972c5733df3,delivered,2025-11-17 21:11:00,2025-11-22 21:11:00
34051695825941ee910c7ac011bf10e5,27ebf7e773ee4f82a92ef0be9479f839,delivered,2025-06-23 08:23:00,2025-06-30 08:23:00
3b41274e87d340a8a6c14872a302d66a,2454d09574e94388af69d55819953d6f,canceled,2025-10-06 19:26:00,
69ee6773b95f47c99265f8f58e470180,b816f624d0db4747b5877da1bfc5e884,processing,2025-02-26 14:42:00,
b3783de364044e6f8232f45e3f025c45,32b939605b5f4d32b554fcfd59608ea8,delivered,2025-01-29 18:07:00,2025-02-01 18:07:00
e416ab6fe7664e6bb25171c565ff60d4,29418aae53d04e3e932636eeabcd985b,delivered,2025-03-01 09:54:00,2025-03-14 09:54:00
9756378228a04ae5a500af74cbf84974,113243bf008e4144bea13d05ed9da280,processing,2025-11-14 16:39:00,
5e6246d2ff294c6187f4f44a1b939ed4,2502fef8109743ef9f285dcdfabc8665,delivered,2025-02-28 10:46:00,2025-03-13 10:46:00
f5e581f2cdf5428a9006aac08d38d235,caea8366dc7647778d7baaf78bbd58e2,delivered,2025-10-25 16:07:00,2025-11-03 16:07:00
56ec1ebdd0464372a80af1c05d699e69,c95f332490c343688726ec73b72db517,delivered,2025-12-01 18:27:00,2025-12-07 18:27:00
0e9e06edb80b4f51b2a5451ad87a3971,91eb7a59b8fc43c6a0f1d9cf1c3197f3,delivered,2025-04-25 08:13:00,2025-05-09 08:13:00
8df9cc59a4b044cd9f7ce28bb5d1f8c4,1c0152b24960463782b73d99520a507c,approved,2025-01-12 06:44:00,
31fcb2876c1b43f8a255cda769b3af22,90493fa1aa2941ef962ee0aefe79a83c,delivered,2025-01-30 09:52:00,2025-02-02 09:52:00
5225a4d3e148480fb44d1bc6f62c53de,d68ba190d67440da9b762ac6e8c88eaf,approved,2025-05-07 11:11:00,
8adee705a9ad4df4a89ab264cf0e24ef,ff7ea7c5e0a243b4aa131145728e75b9,processing,2025-05-01 11:24:00,
